"TAX","GEO","TIME","UNIT","Value"
"Transport taxes","Slovenia","2008","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","1,27"
"Transport taxes","Slovenia","2008","Percentage of gross domestic product (GDP)","0,47"
"Transport taxes","Slovenia","2009","Million euro","147,14"
"Transport taxes","Slovenia","2009","Million units of national currency","147,14"
"Transport taxes","Slovenia","2009","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","1,11"
"Transport taxes","Slovenia","2009","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","1,12"
"Transport taxes","Slovenia","2009","Percentage of gross domestic product (GDP)","0,41"
"Transport taxes","Slovenia","2010","Million euro","146,29"
"Transport taxes","Slovenia","2010","Million units of national currency","146,29"
"Transport taxes","Slovenia","2010","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","1,08"
"Transport taxes","Slovenia","2010","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","1,09"
"Transport taxes","Slovenia","2010","Percentage of gross domestic product (GDP)","0,4"
"Transport taxes","Slovenia","2011","Million euro","145,06"
"Transport taxes","Slovenia","2011","Million units of national currency","145,06"
"Transport taxes","Slovenia","2011","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","1,06"
"Transport taxes","Slovenia","2011","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","1,07"
"Transport taxes","Slovenia","2011","Percentage of gross domestic product (GDP)","0,39"
"Transport taxes","Slovenia","2012","Million euro","143,83"
"Transport taxes","Slovenia","2012","Million units of national currency","143,83"
"Transport taxes","Slovenia","2012","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","1,07"
"Transport taxes","Slovenia","2012","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","1,08"
"Transport taxes","Slovenia","2012","Percentage of gross domestic product (GDP)","0,4"
"Transport taxes","Slovenia","2013","Million euro","163,61"
"Transport taxes","Slovenia","2013","Million units of national currency","163,61"
"Transport taxes","Slovenia","2013","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","1,22"
"Transport taxes","Slovenia","2013","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","1,23"
"Transport taxes","Slovenia","2013","Percentage of gross domestic product (GDP)","0,45"
"Transport taxes","Slovenia","2014","Million euro","170,55"
"Transport taxes","Slovenia","2014","Million units of national currency","170,55"
"Transport taxes","Slovenia","2014","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","1,23"
"Transport taxes","Slovenia","2014","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","1,24"
"Transport taxes","Slovenia","2014","Percentage of gross domestic product (GDP)","0,45"
"Transport taxes","Slovenia","2015","Million euro","177,45"
"Transport taxes","Slovenia","2015","Million units of national currency","177,45"
"Transport taxes","Slovenia","2015","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","1,24"
"Transport taxes","Slovenia","2015","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","1,25"
"Transport taxes","Slovenia","2015","Percentage of gross domestic product (GDP)","0,46"
"Transport taxes","Slovenia","2016","Million euro","178,03"
"Transport taxes","Slovenia","2016","Million units of national currency","178,03"
"Transport taxes","Slovenia","2016","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","1,19"
"Transport taxes","Slovenia","2016","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","1,2"
"Transport taxes","Slovenia","2016","Percentage of gross domestic product (GDP)","0,44"
"Transport taxes","Slovenia","2017","Million euro","187,87"
"Transport taxes","Slovenia","2017","Million units of national currency","187,87"
"Transport taxes","Slovenia","2017","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","1,19"
"Transport taxes","Slovenia","2017","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","1,2"
"Transport taxes","Slovenia","2017","Percentage of gross domestic product (GDP)","0,44"
"Transport taxes","Slovakia","1995","Million euro","36,51"
"Transport taxes","Slovakia","1995","Million units of national currency","47,1"
"Transport taxes","Slovakia","1995","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,6"
"Transport taxes","Slovakia","1995","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,6"
"Transport taxes","Slovakia","1995","Percentage of gross domestic product (GDP)","0,24"
"Transport taxes","Slovakia","1996","Million euro","39,1"
"Transport taxes","Slovakia","1996","Million units of national currency","50,52"
"Transport taxes","Slovakia","1996","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,59"
"Transport taxes","Slovakia","1996","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,6"
"Transport taxes","Slovakia","1996","Percentage of gross domestic product (GDP)","0,23"
"Transport taxes","Slovakia","1997","Million euro","42,72"
"Transport taxes","Slovakia","1997","Million units of national currency","54,04"
"Transport taxes","Slovakia","1997","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,6"
"Transport taxes","Slovakia","1997","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,6"
"Transport taxes","Slovakia","1997","Percentage of gross domestic product (GDP)","0,22"
"Transport taxes","Slovakia","1998","Million euro","44,89"
"Transport taxes","Slovakia","1998","Million units of national currency","58,92"
"Transport taxes","Slovakia","1998","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,61"
"Transport taxes","Slovakia","1998","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,61"
"Transport taxes","Slovakia","1998","Percentage of gross domestic product (GDP)","0,22"
"Transport taxes","Slovakia","1999","Million euro","40,09"
"Transport taxes","Slovakia","1999","Million units of national currency","58,72"
"Transport taxes","Slovakia","1999","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,59"
"Transport taxes","Slovakia","1999","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,59"
"Transport taxes","Slovakia","1999","Percentage of gross domestic product (GDP)","0,21"
"Transport taxes","Slovakia","2000","Million euro","54,03"
"Transport taxes","Slovakia","2000","Million units of national currency","76,41"
"Transport taxes","Slovakia","2000","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,71"
"Transport taxes","Slovakia","2000","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,72"
"Transport taxes","Slovakia","2000","Percentage of gross domestic product (GDP)","0,24"
"Transport taxes","Slovakia","2001","Million euro","54,78"
"Transport taxes","Slovakia","2001","Million units of national currency","78,74"
"Transport taxes","Slovakia","2001","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,7"
"Transport taxes","Slovakia","2001","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,7"
"Transport taxes","Slovakia","2001","Percentage of gross domestic product (GDP)","0,23"
"Transport taxes","Slovakia","2002","Million euro","57,41"
"Transport taxes","Slovakia","2002","Million units of national currency","81,36"
"Transport taxes","Slovakia","2002","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,66"
"Transport taxes","Slovakia","2002","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,66"
"Transport taxes","Slovakia","2002","Percentage of gross domestic product (GDP)","0,22"
"Transport taxes","Slovakia","2003","Million euro","62,4"
"Transport taxes","Slovakia","2003","Million units of national currency","85,94"
"Transport taxes","Slovakia","2003","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,63"
"Transport taxes","Slovakia","2003","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,64"
"Transport taxes","Slovakia","2003","Percentage of gross domestic product (GDP)","0,21"
"Transport taxes","Slovakia","2004","Million euro","64,66"
"Transport taxes","Slovakia","2004","Million units of national currency","85,91"
"Transport taxes","Slovakia","2004","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,59"
"Transport taxes","Slovakia","2004","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,59"
"Transport taxes","Slovakia","2004","Percentage of gross domestic product (GDP)","0,19"
"Transport taxes","Slovakia","2005","Million euro","73,76"
"Transport taxes","Slovakia","2005","Million units of national currency","94,5"
"Transport taxes","Slovakia","2005","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,6"
"Transport taxes","Slovakia","2005","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,6"
"Transport taxes","Slovakia","2005","Percentage of gross domestic product (GDP)","0,19"
"Transport taxes","Slovakia","2006","Million euro","86,21"
"Transport taxes","Slovakia","2006","Million units of national currency","106,55"
"Transport taxes","Slovakia","2006","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,64"
"Transport taxes","Slovakia","2006","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,65"
"Transport taxes","Slovakia","2006","Percentage of gross domestic product (GDP)","0,19"
"Transport taxes","Slovakia","2007","Million euro","110,44"
"Transport taxes","Slovakia","2007","Million units of national currency","123,81"
"Transport taxes","Slovakia","2007","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,67"
"Transport taxes","Slovakia","2007","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,67"
"Transport taxes","Slovakia","2007","Percentage of gross domestic product (GDP)","0,2"
"Transport taxes","Slovakia","2008","Million euro","131,09"
"Transport taxes","Slovakia","2008","Million units of national currency","136,03"
"Transport taxes","Slovakia","2008","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,68"
"Transport taxes","Slovakia","2008","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,69"
"Transport taxes","Slovakia","2008","Percentage of gross domestic product (GDP)","0,2"
"Transport taxes","Slovakia","2009","Million euro","124,56"
"Transport taxes","Slovakia","2009","Million units of national currency","124,56"
"Transport taxes","Slovakia","2009","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,67"
"Transport taxes","Slovakia","2009","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,68"
"Transport taxes","Slovakia","2009","Percentage of gross domestic product (GDP)","0,19"
"Transport taxes","Slovakia","2010","Million euro","127,5"
"Transport taxes","Slovakia","2010","Million units of national currency","127,5"
"Transport taxes","Slovakia","2010","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,67"
"Transport taxes","Slovakia","2010","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,67"
"Transport taxes","Slovakia","2010","Percentage of gross domestic product (GDP)","0,19"
"Transport taxes","Slovakia","2011","Million euro","140,18"
"Transport taxes","Slovakia","2011","Million units of national currency","140,18"
"Transport taxes","Slovakia","2011","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,69"
"Transport taxes","Slovakia","2011","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,7"
"Transport taxes","Slovakia","2011","Percentage of gross domestic product (GDP)","0,2"
"Transport taxes","Slovakia","2012","Million euro","138,31"
"Transport taxes","Slovakia","2012","Million units of national currency","138,31"
"Transport taxes","Slovakia","2012","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,67"
"Transport taxes","Slovakia","2012","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,67"
"Transport taxes","Slovakia","2012","Percentage of gross domestic product (GDP)","0,19"
"Transport taxes","Slovakia","2013","Million euro","152,81"
"Transport taxes","Slovakia","2013","Million units of national currency","152,81"
"Transport taxes","Slovakia","2013","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,68"
"Transport taxes","Slovakia","2013","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,68"
"Transport taxes","Slovakia","2013","Percentage of gross domestic product (GDP)","0,21"
"Transport taxes","Slovakia","2014","Million euro","157,09"
"Transport taxes","Slovakia","2014","Million units of national currency","157,09"
"Transport taxes","Slovakia","2014","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,66"
"Transport taxes","Slovakia","2014","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,67"
"Transport taxes","Slovakia","2014","Percentage of gross domestic product (GDP)","0,21"
"Transport taxes","Slovakia","2015","Million euro","142,34"
"Transport taxes","Slovakia","2015","Million units of national currency","142,34"
"Transport taxes","Slovakia","2015","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,56"
"Transport taxes","Slovakia","2015","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,56"
"Transport taxes","Slovakia","2015","Percentage of gross domestic product (GDP)","0,18"
"Transport taxes","Slovakia","2016","Million euro","145,5"
"Transport taxes","Slovakia","2016","Million units of national currency","145,5"
"Transport taxes","Slovakia","2016","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,55"
"Transport taxes","Slovakia","2016","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,56"
"Transport taxes","Slovakia","2016","Percentage of gross domestic product (GDP)","0,18"
"Transport taxes","Slovakia","2017","Million euro","150,22"
"Transport taxes","Slovakia","2017","Million units of national currency","150,22"
"Transport taxes","Slovakia","2017","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,53"
"Transport taxes","Slovakia","2017","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,54"
"Transport taxes","Slovakia","2017","Percentage of gross domestic product (GDP)","0,18"
"Transport taxes","Finland","1995","Million euro","770,77"
"Transport taxes","Finland","1995","Million units of national currency","740,03"
"Transport taxes","Finland","1995","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","1,67"
"Transport taxes","Finland","1995","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","1,69"
"Transport taxes","Finland","1995","Percentage of gross domestic product (GDP)","0,75"
"Transport taxes","Finland","1996","Million euro","969,48"
"Transport taxes","Finland","1996","Million units of national currency","950,31"
"Transport taxes","Finland","1996","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","2,01"
"Transport taxes","Finland","1996","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","2,04"
"Transport taxes","Finland","1996","Percentage of gross domestic product (GDP)","0,93"
"Transport taxes","Finland","1997","Million euro","1.086,42"
"Transport taxes","Finland","1997","Million units of national currency","1.074,53"
"Transport taxes","Finland","1997","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","2,13"
"Transport taxes","Finland","1997","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","2,16"
"Transport taxes","Finland","1997","Percentage of gross domestic product (GDP)","0,97"
"Transport taxes","Finland","1998","Million euro","1.267,47"
"Transport taxes","Finland","1998","Million units of national currency","1.275,31"
"Transport taxes","Finland","1998","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","2,34"
"Transport taxes","Finland","1998","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","2,36"
"Transport taxes","Finland","1998","Percentage of gross domestic product (GDP)","1,06"
"Transport taxes","Finland","1999","Million euro","1.438,19"
"Transport taxes","Finland","1999","Million units of national currency","1.438,19"
"Transport taxes","Finland","1999","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","2,54"
"Transport taxes","Finland","1999","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","2,56"
"Transport taxes","Finland","1999","Percentage of gross domestic product (GDP)","1,13"
"Transport taxes","Finland","2000","Million euro","1.476,03"
"Transport taxes","Finland","2000","Million units of national currency","1.476,03"
"Transport taxes","Finland","2000","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","2,35"
"Transport taxes","Finland","2000","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","2,36"
"Transport taxes","Finland","2000","Percentage of gross domestic product (GDP)","1,08"
"Transport taxes","Finland","2001","Million euro","1.377,74"
"Transport taxes","Finland","2001","Million units of national currency","1.377,74"
"Transport taxes","Finland","2001","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","2,2"
"Transport taxes","Finland","2001","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","2,21"
"Transport taxes","Finland","2001","Percentage of gross domestic product (GDP)","0,95"
"Transport taxes","Finland","2002","Million euro","1.498,2"
"Transport taxes","Finland","2002","Million units of national currency","1.498,2"
"Transport taxes","Finland","2002","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","2,32"
"Transport taxes","Finland","2002","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","2,33"
"Transport taxes","Finland","2002","Percentage of gross domestic product (GDP)","1,01"
"Transport taxes","Finland","2003","Million euro","1.722"
"Transport taxes","Finland","2003","Million units of national currency","1.722"
"Transport taxes","Finland","2003","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","2,67"
"Transport taxes","Finland","2003","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","2,68"
"Transport taxes","Finland","2003","Percentage of gross domestic product (GDP)","1,14"
"Transport taxes","Finland","2004","Million euro","1.922"
"Transport taxes","Finland","2004","Million units of national currency","1.922"
"Transport taxes","Finland","2004","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","2,89"
"Transport taxes","Finland","2004","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","2,9"
"Transport taxes","Finland","2004","Percentage of gross domestic product (GDP)","1,21"
"Transport taxes","Finland","2005","Million euro","1.858"
"Transport taxes","Finland","2005","Million units of national currency","1.858"
"Transport taxes","Finland","2005","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","2,67"
"Transport taxes","Finland","2005","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","2,68"
"Transport taxes","Finland","2005","Percentage of gross domestic product (GDP)","1,13"
"Transport taxes","Finland","2006","Million euro","1.924"
"Transport taxes","Finland","2006","Million units of national currency","1.924"
"Transport taxes","Finland","2006","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","2,64"
"Transport taxes","Finland","2006","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","2,64"
"Transport taxes","Finland","2006","Percentage of gross domestic product (GDP)","1,11"
"Transport taxes","Finland","2007","Million euro","1.881"
"Transport taxes","Finland","2007","Million units of national currency","1.881"
"Transport taxes","Finland","2007","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","2,42"
"Transport taxes","Finland","2007","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","2,43"
"Transport taxes","Finland","2007","Percentage of gross domestic product (GDP)","1,01"
"Transport taxes","Finland","2008","Million euro","1.710"
"Transport taxes","Finland","2008","Million units of national currency","1.710"
"Transport taxes","Finland","2008","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","2,14"
"Transport taxes","Finland","2008","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","2,14"
"Transport taxes","Finland","2008","Percentage of gross domestic product (GDP)","0,88"
"Transport taxes","Finland","2009","Million euro","1.392"
"Transport taxes","Finland","2009","Million units of national currency","1.392"
"Transport taxes","Finland","2009","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","1,87"
"Transport taxes","Finland","2009","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","1,88"
"Transport taxes","Finland","2009","Percentage of gross domestic product (GDP)","0,77"
"Transport taxes","Finland","2010","Million euro","1.690"
"Transport taxes","Finland","2010","Million units of national currency","1.690"
"Transport taxes","Finland","2010","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","2,21"
"Transport taxes","Finland","2010","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","2,21"
"Transport taxes","Finland","2010","Percentage of gross domestic product (GDP)","0,9"
"Transport taxes","Finland","2011","Million euro","1.886"
"Transport taxes","Finland","2011","Million units of national currency","1.886"
"Transport taxes","Finland","2011","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","2,27"
"Transport taxes","Finland","2011","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","2,28"
"Transport taxes","Finland","2011","Percentage of gross domestic product (GDP)","0,96"
"Transport taxes","Finland","2012","Million euro","1.820"
"Transport taxes","Finland","2012","Million units of national currency","1.820"
"Transport taxes","Finland","2012","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","2,13"
"Transport taxes","Finland","2012","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","2,13"
"Transport taxes","Finland","2012","Percentage of gross domestic product (GDP)","0,91"
"Transport taxes","Finland","2013","Million euro","1.853"
"Transport taxes","Finland","2013","Million units of national currency","1.853"
"Transport taxes","Finland","2013","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","2,08"
"Transport taxes","Finland","2013","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","2,09"
"Transport taxes","Finland","2013","Percentage of gross domestic product (GDP)","0,91"
"Transport taxes","Finland","2014","Million euro","1.847"
"Transport taxes","Finland","2014","Million units of national currency","1.847"
"Transport taxes","Finland","2014","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","2,05"
"Transport taxes","Finland","2014","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","2,05"
"Transport taxes","Finland","2014","Percentage of gross domestic product (GDP)","0,9"
"Transport taxes","Finland","2015","Million euro","1.854"
"Transport taxes","Finland","2015","Million units of national currency","1.854"
"Transport taxes","Finland","2015","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","2,01"
"Transport taxes","Finland","2015","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","2,02"
"Transport taxes","Finland","2015","Percentage of gross domestic product (GDP)","0,88"
"Transport taxes","Finland","2016","Million euro","2.084"
"Transport taxes","Finland","2016","Million units of national currency","2.084"
"Transport taxes","Finland","2016","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","2,18"
"Transport taxes","Finland","2016","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","2,19"
"Transport taxes","Finland","2016","Percentage of gross domestic product (GDP)","0,96"
"Transport taxes","Finland","2017","Million euro","2.177"
"Transport taxes","Finland","2017","Million units of national currency","2.177"
"Transport taxes","Finland","2017","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","2,24"
"Transport taxes","Finland","2017","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","2,25"
"Transport taxes","Finland","2017","Percentage of gross domestic product (GDP)","0,97"
"Transport taxes","Sweden","1995","Million euro","621,31"
"Transport taxes","Sweden","1995","Million units of national currency","5.798"
"Transport taxes","Sweden","1995","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,66"
"Transport taxes","Sweden","1995","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,67"
"Transport taxes","Sweden","1995","Percentage of gross domestic product (GDP)","0,31"
"Transport taxes","Sweden","1996","Million euro","789,34"
"Transport taxes","Sweden","1996","Million units of national currency","6.721"
"Transport taxes","Sweden","1996","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,71"
"Transport taxes","Sweden","1996","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,72"
"Transport taxes","Sweden","1996","Percentage of gross domestic product (GDP)","0,35"
"Transport taxes","Sweden","1997","Million euro","745,68"
"Transport taxes","Sweden","1997","Million units of national currency","6.451"
"Transport taxes","Sweden","1997","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,65"
"Transport taxes","Sweden","1997","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,66"
"Transport taxes","Sweden","1997","Percentage of gross domestic product (GDP)","0,32"
"Transport taxes","Sweden","1998","Million euro","770,08"
"Transport taxes","Sweden","1998","Million units of national currency","6.866"
"Transport taxes","Sweden","1998","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,66"
"Transport taxes","Sweden","1998","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,66"
"Transport taxes","Sweden","1998","Percentage of gross domestic product (GDP)","0,32"
"Transport taxes","Sweden","1999","Million euro","823,96"
"Transport taxes","Sweden","1999","Million units of national currency","7.257"
"Transport taxes","Sweden","1999","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,65"
"Transport taxes","Sweden","1999","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,66"
"Transport taxes","Sweden","1999","Percentage of gross domestic product (GDP)","0,32"
"Transport taxes","Sweden","2000","Million euro","900,63"
"Transport taxes","Sweden","2000","Million units of national currency","7.606"
"Transport taxes","Sweden","2000","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,65"
"Transport taxes","Sweden","2000","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,65"
"Transport taxes","Sweden","2000","Percentage of gross domestic product (GDP)","0,32"
"Transport taxes","Sweden","2001","Million euro","825,27"
"Transport taxes","Sweden","2001","Million units of national currency","7.638"
"Transport taxes","Sweden","2001","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,65"
"Transport taxes","Sweden","2001","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,66"
"Transport taxes","Sweden","2001","Percentage of gross domestic product (GDP)","0,31"
"Transport taxes","Sweden","2002","Million euro","890,29"
"Transport taxes","Sweden","2002","Million units of national currency","8.156"
"Transport taxes","Sweden","2002","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,69"
"Transport taxes","Sweden","2002","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,7"
"Transport taxes","Sweden","2002","Percentage of gross domestic product (GDP)","0,32"
"Transport taxes","Sweden","2003","Million euro","912,63"
"Transport taxes","Sweden","2003","Million units of national currency","8.327"
"Transport taxes","Sweden","2003","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,68"
"Transport taxes","Sweden","2003","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,68"
"Transport taxes","Sweden","2003","Percentage of gross domestic product (GDP)","0,31"
"Transport taxes","Sweden","2004","Million euro","962,48"
"Transport taxes","Sweden","2004","Million units of national currency","8.782"
"Transport taxes","Sweden","2004","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,68"
"Transport taxes","Sweden","2004","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,69"
"Transport taxes","Sweden","2004","Percentage of gross domestic product (GDP)","0,31"
"Transport taxes","Sweden","2005","Million euro","1.181,94"
"Transport taxes","Sweden","2005","Million units of national currency","10.971"
"Transport taxes","Sweden","2005","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,8"
"Transport taxes","Sweden","2005","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,81"
"Transport taxes","Sweden","2005","Percentage of gross domestic product (GDP)","0,38"
"Transport taxes","Sweden","2006","Million euro","1.267,29"
"Transport taxes","Sweden","2006","Million units of national currency","11.728"
"Transport taxes","Sweden","2006","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,81"
"Transport taxes","Sweden","2006","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,82"
"Transport taxes","Sweden","2006","Percentage of gross domestic product (GDP)","0,38"
"Transport taxes","Sweden","2007","Million euro","1.418,69"
"Transport taxes","Sweden","2007","Million units of national currency","13.123"
"Transport taxes","Sweden","2007","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","0,87"
"Transport taxes","Sweden","2007","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","0,89"
"Transport taxes","Sweden","2007","Percentage of gross domestic product (GDP)","0,4"
"Transport taxes","Sweden","2008","Million euro","1.668,82"
"Transport taxes","Sweden","2008","Million units of national currency","16.046"
"Transport taxes","Sweden","2008","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","1,06"
"Transport taxes","Sweden","2008","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","1,08"
"Transport taxes","Sweden","2008","Percentage of gross domestic product (GDP)","0,47"
"Transport taxes","Sweden","2009","Million euro","1.542,32"
"Transport taxes","Sweden","2009","Million units of national currency","16.378"
"Transport taxes","Sweden","2009","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","1,11"
"Transport taxes","Sweden","2009","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","1,13"
"Transport taxes","Sweden","2009","Percentage of gross domestic product (GDP)","0,5"
"Transport taxes","Sweden","2010","Million euro","1.719,56"
"Transport taxes","Sweden","2010","Million units of national currency","16.400"
"Transport taxes","Sweden","2010","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","1,06"
